Symbol,Strategy,Current_Price,PE_Ratio,PB_Ratio,ROE,Debt_Equity,Fundamental_Score,Value_Rating,Price_Trend,Entry_Price,Stop_Loss,Fair_Value
WIPRO,Fundamental_Value,235.75,18.39,2.84,16.36,18.23,64.7,HOLD,DOWN,235.75,188.6,294.69
DRREDDY,Fundamental_Value,1253.1,18.38,2.98,17.71,13.75,64.5,HOLD,DOWN,1253.1,1002.48,1566.37
SBIN,Fundamental_Value,856.95,9.62,1.47,16.58,0.0,64.0,HOLD,UP,856.95,685.56,1071.19
AXISBANK,Fundamental_Value,1154.0,12.89,1.84,15.56,0.0,60.9,HOLD,UP,1154.0,923.2,1442.5
TCS,Fundamental_Value,2899.1,21.28,10.71,51.59,9.71,59.6,HOLD,DOWN,2899.1,2319.28,3623.88
INFY,Fundamental_Value,1448.9,21.19,542.66,30.36,8.89,59.6,HOLD,DOWN,1448.9,1159.12,1811.13
HCLTECH,Fundamental_Value,1395.3,22.32,463.55,24.61,9.38,59.2,HOLD,DOWN,1395.3,1116.24,1744.13
ICICIBANK,Fundamental_Value,1359.6,18.49,2.94,17.88,0.0,57.3,HOLD,DOWN,1359.6,1087.68,1699.5
KOTAKBANK,Fundamental_Value,1994.8,20.7,2.52,13.32,0.0,54.1,HOLD,DOWN,1994.8,1595.84,2493.5
HDFCBANK,Fundamental_Value,945.05,21.6,2.67,13.93,0.0,53.8,HOLD,DOWN,945.05,756.04,1181.31
HINDALCO,Fundamental_Value,743.85,9.77,1.34,14.73,53.06,49.4,HOLD,UP,743.85,595.08,929.81
BHARTIARTL,Fundamental_Value,1916.6,32.47,9.75,29.46,126.5,42.7,HOLD,UP,1916.6,1533.28,2395.75
CIPLA,Fundamental_Value,1499.4,22.47,3.88,0.0,1.4,41.6,HOLD,DOWN,1499.4,1199.52,1874.25
ITC,Fundamental_Value,405.1,25.45,7.24,0.0,0.41,40.2,HOLD,DOWN,405.1,324.08,506.38
COALINDIA,Fundamental_Value,389.15,7.24,2.42,0.0,9.15,39.5,SELL,UP,389.15,311.32,486.44
BAJFINANCE,Fundamental_Value,985.1,35.08,6.32,20.08,294.16,38.3,SELL,UP,985.1,788.08,1231.37
NTPC,Fundamental_Value,337.9,18.56,1.78,0.0,130.86,37.9,SELL,UP,337.9,270.32,422.37
ONGC,Fundamental_Value,238.02,8.3,0.87,0.0,50.19,36.8,SELL,UP,238.02,190.42,297.53
MARUTI,Fundamental_Value,16286.0,35.21,5.32,0.0,0.09,36.8,SELL,UP,16286.0,13028.8,20357.5
POWERGRID,Fundamental_Value,282.25,17.64,2.83,0.0,145.25,34.7,SELL,DOWN,282.25,225.8,352.81
DIVISLAB,Fundamental_Value,5689.5,65.36,10.09,0.0,0.03,33.2,SELL,DOWN,5689.5,4551.6,7111.88
BAJAJFINSV,Fundamental_Value,2003.2,33.9,4.42,16.09,221.49,32.4,SELL,UP,2003.2,1602.56,2504.0
RELIANCE,Fundamental_Value,1377.6,22.88,2.21,0.0,36.6,32.2,SELL,DOWN,1377.6,1102.08,1722.0
INDUSINDBK,Fundamental_Value,712.75,55.25,0.86,0.0,0.0,31.6,SELL,DOWN,712.75,570.2,890.94
