Symbol,Strategy,Current_Price,CMI,1M_Return,12M_Return,Pct_From_High,Volume_Ratio,Technical_Score,Rating,Entry_Price,Stop_Loss,Target
EICHERMOT,Technical_Momentum,7047.0,34.77,14.9,46.37,-1.06,1.1,90,STRONG_BUY,7047.0,6483.24,8104.05
MARUTI,Technical_Momentum,16286.0,16.96,10.4,29.23,-0.91,0.9,60,BUY,16286.0,14983.12,18728.9
JSWSTEEL,Technical_Momentum,1130.8,-55.68,9.17,14.56,-3.18,2.06,60,BUY,1130.8,1040.34,1300.42
LT,Technical_Momentum,3729.5,-121.62,4.76,-0.72,-5.03,3.57,55,HOLD,3729.5,3431.14,4288.92
IOC,Technical_Momentum,145.04,-477.77,4.73,-12.78,-18.79,1.57,55,HOLD,145.04,133.44,166.8
BAJFINANCE,Technical_Momentum,985.1,-79.45,12.35,31.03,-4.91,1.1,50,HOLD,985.1,906.29,1132.86
M&M,Technical_Momentum,3396.5,-205.3,3.07,11.37,-8.79,1.11,45,HOLD,3396.5,3124.78,3905.98
BPCL,Technical_Momentum,324.35,-264.3,4.39,-1.01,-10.71,1.0,45,HOLD,324.35,298.4,373.0
HEROMOTOCO,Technical_Momentum,5328.0,-257.81,4.64,-9.5,-10.12,1.04,45,HOLD,5328.0,4901.76,6127.2
HINDALCO,Technical_Momentum,743.85,-71.64,6.05,4.38,-3.28,0.92,40,HOLD,743.85,684.34,855.43
SBIN,Technical_Momentum,856.95,-50.5,6.86,9.51,-2.67,0.87,40,HOLD,856.95,788.39,985.49
AXISBANK,Technical_Momentum,1154.0,-244.19,9.71,-6.82,-9.88,0.83,40,HOLD,1154.0,1061.68,1327.1
ADANIENT,Technical_Momentum,2543.7,-524.47,11.8,-17.74,-20.74,0.62,40,HOLD,2543.7,2340.2,2925.25
ADANIPORTS,Technical_Momentum,1392.0,-157.5,5.82,-3.97,-6.37,0.8,40,HOLD,1392.0,1280.64,1600.8
TATASTEEL,Technical_Momentum,167.4,-85.22,8.96,6.71,-4.04,0.9,40,HOLD,167.4,154.01,192.51
TATACONSUM,Technical_Momentum,1119.0,-185.91,5.33,-6.96,-7.37,0.46,40,HOLD,1119.0,1029.48,1286.85
BAJAJ-AUTO,Technical_Momentum,8702.0,-781.92,0.14,-28.3,-30.15,0.8,35,SELL,8702.0,8005.84,10007.3
BRITANNIA,Technical_Momentum,5920.5,-182.13,3.49,-3.31,-7.29,0.49,35,SELL,5920.5,5446.86,6808.58
BAJAJFINSV,Technical_Momentum,2003.2,-143.5,4.46,5.23,-6.13,0.72,35,SELL,2003.2,1842.94,2303.68
ICICIBANK,Technical_Momentum,1359.6,-215.43,-2.82,3.9,-8.66,1.92,35,SELL,1359.6,1250.83,1563.54
CIPLA,Technical_Momentum,1499.4,-291.34,-5.12,-7.64,-11.14,2.5,35,SELL,1499.4,1379.45,1724.31
COALINDIA,Technical_Momentum,389.15,-479.61,3.97,-16.5,-18.68,0.98,35,SELL,389.15,358.02,447.52
DRREDDY,Technical_Momentum,1253.1,-263.3,-0.53,-5.19,-10.3,1.85,35,SELL,1253.1,1152.85,1441.06
NTPC,Technical_Momentum,337.9,-586.54,3.18,-19.15,-22.82,0.75,35,SELL,337.9,310.87,388.58
BHARTIARTL,Technical_Momentum,1916.6,-126.4,1.89,10.02,-5.53,0.7,35,SELL,1916.6,1763.27,2204.09
ASIANPAINT,Technical_Momentum,2342.8,-769.66,-5.87,-27.09,-29.47,1.11,25,SELL,2342.8,2155.38,2694.22
RELIANCE,Technical_Momentum,1377.6,-278.36,-0.6,-7.14,-10.83,1.07,25,SELL,1377.6,1267.39,1584.24
SUNPHARMA,Technical_Momentum,1586.7,-471.82,0.06,-14.27,-18.3,2.73,25,SELL,1586.7,1459.76,1824.7
TITAN,Technical_Momentum,3327.3,-362.8,-8.53,-11.83,-13.7,7.13,20,SELL,3327.3,3061.12,3826.4
TATAMOTORS,Technical_Momentum,672.9,-834.9,-0.38,-30.56,-32.16,1.41,20,SELL,672.9,619.07,773.84
TCS,Technical_Momentum,2899.1,-901.07,-6.29,-30.96,-34.55,1.51,20,SELL,2899.1,2667.17,3333.97
WIPRO,Technical_Momentum,235.75,-657.94,-5.94,-9.12,-25.71,2.05,20,SELL,235.75,216.89,271.11
NESTLEIND,Technical_Momentum,1162.6,-374.52,0.02,-11.92,-14.5,0.77,20,SELL,1162.6,1069.59,1336.99
DIVISLAB,Technical_Momentum,5689.5,-480.32,-7.22,6.32,-19.18,1.82,20,SELL,5689.5,5234.34,6542.92
