Symbol,Strategy,Current_Price,Technical_Score,Fundamental_Score,Hybrid_Score,CMI,PE_Ratio,1M_Return,Rating,Entry_Price,Stop_Loss,Target
EICHERMOT,Hybrid_Tech_Fund,7047.0,100,29.5,71.8,34.77,40.0,14.9,HOLD,7047.0,6201.36,8456.4
MARUTI,Hybrid_Tech_Fund,16286.0,75,36.8,59.7,16.96,35.21,10.4,HOLD,16286.0,14331.68,19543.2
IOC,Hybrid_Tech_Fund,145.04,75,29.5,56.8,-477.77,11.83,4.73,HOLD,145.04,127.64,174.05
DRREDDY,Hybrid_Tech_Fund,1253.1,50,64.5,55.8,-263.3,18.38,-0.53,HOLD,1253.1,1102.73,1503.72
SBIN,Hybrid_Tech_Fund,856.95,50,64.0,55.6,-50.5,9.62,6.86,HOLD,856.95,754.12,1028.34
AXISBANK,Hybrid_Tech_Fund,1154.0,50,60.9,54.3,-244.19,12.89,9.71,HOLD,1154.0,1015.52,1384.8
M&M,Hybrid_Tech_Fund,3396.5,75,21.2,53.5,-205.3,27.78,3.07,HOLD,3396.5,2988.92,4075.8
ICICIBANK,Hybrid_Tech_Fund,1359.6,50,57.3,52.9,-215.43,18.49,-2.82,HOLD,1359.6,1196.45,1631.52
LT,Hybrid_Tech_Fund,3729.5,75,15.7,51.3,-121.62,32.36,4.76,HOLD,3729.5,3281.96,4475.4
HINDALCO,Hybrid_Tech_Fund,743.85,50,49.4,49.8,-71.64,9.77,6.05,HOLD,743.85,654.59,892.62
JSWSTEEL,Hybrid_Tech_Fund,1130.8,75,9.9,48.9,-55.68,57.14,9.17,HOLD,1130.8,995.1,1356.96
BHARTIARTL,Hybrid_Tech_Fund,1916.6,50,42.7,47.1,-126.4,32.47,1.89,HOLD,1916.6,1686.61,2299.92
CIPLA,Hybrid_Tech_Fund,1499.4,50,41.6,46.6,-291.34,22.47,-5.12,HOLD,1499.4,1319.47,1799.28
COALINDIA,Hybrid_Tech_Fund,389.15,50,39.5,45.8,-479.61,7.24,3.97,HOLD,389.15,342.45,466.98
BAJFINANCE,Hybrid_Tech_Fund,985.1,50,38.3,45.3,-79.45,35.08,12.35,HOLD,985.1,866.89,1182.12
NTPC,Hybrid_Tech_Fund,337.9,50,37.9,45.2,-586.54,18.56,3.18,HOLD,337.9,297.35,405.48
BAJAJFINSV,Hybrid_Tech_Fund,2003.2,50,32.4,43.0,-143.5,33.9,4.46,SELL,2003.2,1762.82,2403.84
BPCL,Hybrid_Tech_Fund,324.35,50,31.5,42.6,-264.3,7.99,4.39,SELL,324.35,285.43,389.22
HEROMOTOCO,Hybrid_Tech_Fund,5328.0,50,30.9,42.4,-257.81,21.19,4.64,SELL,5328.0,4688.64,6393.6
WIPRO,Hybrid_Tech_Fund,235.75,25,64.7,40.9,-657.94,18.39,-5.94,SELL,235.75,207.46,282.9
